Item_ID,Category,Item_Name,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Vendor_Name,Cost_Per_Item,Days_Until_Stockout,Risk_Label
1066,Medicines,Painkiller,326,102,460,408.08,19,10,V005,PrimeMed Supply Chain,380.36,17.157894736842106,Medium
1067,IV & Emergency Supplies,Cannula,344,40,716,153.22,119,4,V002,EquipMed Co.,131.64,2.8907563025210083,High
1068,Surgical Supplies,Surgical Mask,1003,326,1930,87.11,375,4,V004,CarePlus Distributors,86.7,2.6746666666666665,High
1069,Medicines,Insulin,1378,352,2919,156.04,33,7,V004,CarePlus Distributors,152.02,41.75757575757576,Low
1070,Equipment/Consumables,Ventilator Filter,889,295,1266,11613.67,17,13,V003,HealthTools Ltd.,9617.25,52.294117647058826,Low
1071,Surgical Supplies,Sutures,729,178,1395,23.49,335,7,V004,CarePlus Distributors,23.05,2.1761194029850746,High
1072,IV & Emergency Supplies,Oxygen Mask,27,5,46,269.77,37,2,V003,HealthTools Ltd.,237.6,0.7297297297297297,High
1073,Equipment/Consumables,Ventilator Filter,312,36,707,1892.3,45,3,V003,HealthTools Ltd.,1545.91,6.933333333333334,Low
1074,Diagnostic Supplies,Test Kit,1070,236,1744,449.38,17,8,V001,MedSupplies Inc.,392.15,62.94117647058823,Low
1075,Medicines,Antibiotic,768,124,1262,92.45,121,7,V001,MedSupplies Inc.,83.93,6.347107438016529,High
1076,IV & Emergency Supplies,Emergency Kit,1458,210,2562,114.47,143,5,V002,EquipMed Co.,118.56,10.195804195804195,Low
1077,Diagnostic Supplies,X-ray Film,1658,443,2144,453.44,79,5,V005,PrimeMed Supply Chain,451.72,20.9873417721519,Low
1078,Medicines,Antibiotic,264,79,607,66.6,48,3,V005,PrimeMed Supply Chain,55.1,5.5,Medium
1079,Medicines,Antiviral,191,44,279,86.32,19,12,V005,PrimeMed Supply Chain,81.62,10.052631578947368,High
1080,IV & Emergency Supplies,Emergency Kit,536,132,692,35.64,196,6,V005,PrimeMed Supply Chain,32.77,2.7346938775510203,High
1081,Medicines,Antiviral,190,62,366,85.37,63,8,V002,EquipMed Co.,91.73,3.015873015873016,High
1082,Equipment/Consumables,BP Monitor Cuff,2133,456,4256,7501.72,50,12,V003,HealthTools Ltd.,8122.73,42.66,Low
1083,Surgical Supplies,Gauze,823,103,1631,87.63,292,4,V005,PrimeMed Supply Chain,93.03,2.8184931506849313,High
1084,Diagnostic Supplies,Test Kit,813,165,1902,93.11,27,10,V003,HealthTools Ltd.,85.78,30.11111111111111,Low
1085,Surgical Supplies,Sutures,301,56,464,36.29,105,4,V003,HealthTools Ltd.,35.07,2.8666666666666667,High
1086,Surgical Supplies,Surgical Mask,603,176,834,83.74,200,4,V005,PrimeMed Supply Chain,72.34,3.015,High
1087,Surgical Supplies,Surgical Gloves,14160,3046,33390,11.26,288,7,V005,PrimeMed Supply Chain,10.22,49.166666666666664,Low
1088,Surgical Supplies,Syringes,8665,1505,20687,29.0,273,5,V005,PrimeMed Supply Chain,31.35,31.73992673992674,Low
1089,Equipment/Consumables,BP Monitor Cuff,706,145,1267,10377.69,20,10,V005,PrimeMed Supply Chain,9128.33,35.3,Low
1090,Surgical Supplies,Gauze,20762,5429,51173,7.46,380,8,V005,PrimeMed Supply Chain,6.14,54.636842105263156,Low
1091,Equipment/Consumables,Ventilator Filter,137,33,250,11022.08,7,7,V004,CarePlus Distributors,10687.42,19.571428571428573,Low
1092,Equipment/Consumables,BP Monitor Cuff,1187,385,2687,19807.97,40,4,V002,EquipMed Co.,19623.32,29.675,Low
1093,Diagnostic Supplies,Reagent,1448,394,2621,275.0,59,11,V002,EquipMed Co.,276.04,24.54237288135593,Low
1094,Surgical Supplies,Surgical Mask,1891,240,2534,43.93,292,8,V004,CarePlus Distributors,43.3,6.476027397260274,High
1095,IV & Emergency Supplies,Emergency Kit,2250,644,4178,523.45,86,5,V001,MedSupplies Inc.,570.97,26.162790697674417,Low
1096,Medicines,Painkiller,555,144,714,134.04,79,4,V001,MedSupplies Inc.,129.59,7.025316455696203,Medium
1097,Equipment/Consumables,Thermometer,690,157,1661,17492.22,16,9,V002,EquipMed Co.,14900.52,43.125,Low
1098,Diagnostic Supplies,Reagent,825,288,1277,513.73,43,14,V005,PrimeMed Supply Chain,468.39,19.186046511627907,Medium
1099,Medicines,Insulin,664,76,1626,278.99,75,11,V001,MedSupplies Inc.,271.31,8.853333333333333,High
1100,Equipment/Consumables,Ventilator Filter,594,95,962,19321.59,53,10,V003,HealthTools Ltd.,17425.14,11.20754716981132,Medium
1101,IV & Emergency Supplies,Emergency Kit,475,139,673,617.48,59,4,V005,PrimeMed Supply Chain,518.69,8.05084745762712,Low
1102,Medicines,Antiviral,9799,1417,21400,33.33,131,12,V004,CarePlus Distributors,33.38,74.80152671755725,Low
1103,Diagnostic Supplies,Blood Collection Tube,1655,535,3436,138.59,78,12,V005,PrimeMed Supply Chain,114.61,21.21794871794872,Medium
1104,Diagnostic Supplies,Blood Collection Tube,384,109,693,152.12,31,17,V004,CarePlus Distributors,139.2,12.387096774193548,High
1105,IV & Emergency Supplies,IV Fluid,1661,391,3913,545.35,147,3,V003,HealthTools Ltd.,501.87,11.299319727891156,Low
1106,Equipment/Consumables,Small Equipment,286,97,462,9616.85,30,12,V005,PrimeMed Supply Chain,10211.55,9.533333333333333,High
1107,Diagnostic Supplies,Blood Collection Tube,161,23,396,339.96,22,14,V003,HealthTools Ltd.,322.5,7.318181818181818,High
1108,Surgical Supplies,Syringes,1532,422,3764,31.42,151,3,V004,CarePlus Distributors,26.66,10.14569536423841,Low
1109,Surgical Supplies,Gauze,1896,305,4351,82.66,268,6,V005,PrimeMed Supply Chain,68.57,7.074626865671642,Medium
1110,Diagnostic Supplies,Reagent,219,62,423,279.78,17,14,V003,HealthTools Ltd.,245.03,12.882352941176471,High
1111,Medicines,Insulin,215,40,471,307.91,19,7,V001,MedSupplies Inc.,303.18,11.31578947368421,Medium
1112,Medicines,Antiviral,875,274,2104,54.39,110,12,V001,MedSupplies Inc.,45.22,7.954545454545454,High
1113,Medicines,Painkiller,2087,326,3988,477.96,61,5,V004,CarePlus Distributors,438.8,34.21311475409836,Low
1114,Surgical Supplies,Surgical Gloves,11365,3302,28266,78.22,237,7,V002,EquipMed Co.,67.68,47.95358649789029,Low
1115,IV & Emergency Supplies,Oxygen Mask,132,45,297,101.13,85,5,V003,HealthTools Ltd.,96.19,1.5529411764705883,High
1116,Equipment/Consumables,Thermometer,1123,321,1706,14590.0,12,13,V005,PrimeMed Supply Chain,12776.96,93.58333333333333,Low
1117,Medicines,Antihistamine,216,44,453,265.34,26,13,V005,PrimeMed Supply Chain,226.15,8.307692307692308,High
1118,Equipment/Consumables,BP Monitor Cuff,159,32,278,17443.93,6,9,V003,HealthTools Ltd.,18598.5,26.5,Low
1119,Surgical Supplies,Gauze,16269,5481,27320,2.99,312,8,V002,EquipMed Co.,3.18,52.14423076923077,Low
1120,IV & Emergency Supplies,Emergency Kit,897,99,1478,83.9,185,2,V001,MedSupplies Inc.,81.76,4.848648648648648,Low
1121,Equipment/Consumables,Small Equipment,56,17,93,8566.7,10,6,V002,EquipMed Co.,8868.03,5.6,High
1122,Surgical Supplies,Surgical Gloves,2015,489,3061,65.85,175,9,V005,PrimeMed Supply Chain,58.83,11.514285714285714,Medium
1123,Surgical Supplies,Surgical Gloves,4606,907,8471,30.93,212,6,V001,MedSupplies Inc.,28.4,21.72641509433962,Low
1124,Surgical Supplies,Syringes,342,90,804,72.29,152,4,V001,MedSupplies Inc.,76.47,2.25,High
1125,IV & Emergency Supplies,Cannula,2517,801,3950,479.23,65,6,V004,CarePlus Distributors,463.46,38.723076923076924,Low
1126,Diagnostic Supplies,Test Kit,980,298,2162,563.87,62,11,V002,EquipMed Co.,616.49,15.806451612903226,Medium
1127,Surgical Supplies,Gauze,4080,1038,7336,78.68,251,9,V005,PrimeMed Supply Chain,78.13,16.254980079681275,Medium
1128,IV & Emergency Supplies,Defibrillator Pads,1759,443,2202,613.09,62,5,V002,EquipMed Co.,563.45,28.370967741935484,Low
1129,Equipment/Consumables,Small Equipment,61,13,132,5667.93,9,4,V001,MedSupplies Inc.,4837.35,6.777777777777778,Medium
1130,Equipment/Consumables,Small Equipment,25,5,53,1839.74,25,3,V004,CarePlus Distributors,1556.58,1.0,High
1131,Medicines,Antiviral,3294,681,4476,221.29,49,10,V002,EquipMed Co.,208.62,67.22448979591837,Low
1132,Equipment/Consumables,Small Equipment,631,75,1315,8172.94,9,13,V004,CarePlus Distributors,6808.2,70.11111111111111,Low
1133,Equipment/Consumables,Ventilator Filter,1134,253,2055,19127.37,22,7,V004,CarePlus Distributors,15373.9,51.54545454545455,Low
1134,Equipment/Consumables,Small Equipment,786,165,1275,1179.22,12,14,V001,MedSupplies Inc.,1041.25,65.5,Low
1135,Equipment/Consumables,Thermometer,502,171,976,3063.15,42,8,V005,PrimeMed Supply Chain,2507.47,11.952380952380953,Medium
1136,Surgical Supplies,Syringes,284,74,431,40.7,196,2,V001,MedSupplies Inc.,42.16,1.4489795918367347,High
1137,Equipment/Consumables,Small Equipment,420,85,732,816.66,38,5,V004,CarePlus Distributors,845.38,11.052631578947368,Low
1138,Equipment/Consumables,BP Monitor Cuff,145,38,218,8795.7,25,7,V001,MedSupplies Inc.,7326.76,5.8,High
1139,Equipment/Consumables,Thermometer,500,69,630,3959.78,29,4,V002,EquipMed Co.,3627.5,17.24137931034483,Low
1140,IV & Emergency Supplies,IV Fluid,2320,763,3487,627.93,173,5,V001,MedSupplies Inc.,579.03,13.410404624277456,Low
1141,Diagnostic Supplies,Blood Collection Tube,6674,2150,10804,27.77,77,14,V001,MedSupplies Inc.,30.06,86.67532467532467,Low
1142,IV & Emergency Supplies,IV Fluid,923,304,1755,568.9,100,6,V001,MedSupplies Inc.,583.4,9.23,Medium
1143,Equipment/Consumables,Small Equipment,286,43,470,19333.97,48,7,V002,EquipMed Co.,15957.56,5.958333333333333,High
1144,Surgical Supplies,Syringes,710,168,924,94.43,114,6,V005,PrimeMed Supply Chain,98.01,6.228070175438597,Medium
1145,Diagnostic Supplies,X-ray Film,54,10,128,180.85,12,8,V001,MedSupplies Inc.,191.77,4.5,High
1146,Diagnostic Supplies,Reagent,1064,367,1334,593.65,9,16,V005,PrimeMed Supply Chain,481.89,118.22222222222223,Low
1147,Diagnostic Supplies,X-ray Film,1874,547,4252,583.93,71,5,V002,EquipMed Co.,569.53,26.3943661971831,Low
1148,Diagnostic Supplies,Blood Collection Tube,265,49,471,27.03,38,7,V002,EquipMed Co.,27.99,6.973684210526316,High
1149,Medicines,Insulin,539,134,919,207.14,36,13,V001,MedSupplies Inc.,180.37,14.972222222222221,Medium
1150,Medicines,Antihistamine,3049,749,5043,423.31,139,11,V004,CarePlus Distributors,371.73,21.93525179856115,Medium
1151,Diagnostic Supplies,Test Kit,331,105,647,324.24,50,15,V004,CarePlus Distributors,298.33,6.62,High
1152,Surgical Supplies,Syringes,1069,302,2464,6.72,262,5,V003,HealthTools Ltd.,5.92,4.080152671755725,High
1153,Surgical Supplies,Gauze,985,171,1921,55.38,260,2,V001,MedSupplies Inc.,56.23,3.7884615384615383,Medium
1154,Diagnostic Supplies,Reagent,526,131,823,186.61,32,7,V004,CarePlus Distributors,166.66,16.4375,Low
1155,Surgical Supplies,Surgical Gloves,280,47,692,27.79,94,2,V005,PrimeMed Supply Chain,25.26,2.978723404255319,Medium
1156,Equipment/Consumables,Thermometer,3046,1011,6811,12205.48,57,9,V004,CarePlus Distributors,11638.91,53.43859649122807,Low
1157,Surgical Supplies,Surgical Mask,928,156,1380,53.68,23,9,V004,CarePlus Distributors,55.83,40.34782608695652,Low
1158,Surgical Supplies,Sutures,14052,3524,33360,40.99,271,8,V005,PrimeMed Supply Chain,41.75,51.85239852398524,Low
1159,Medicines,Painkiller,86,8,132,107.93,20,5,V001,MedSupplies Inc.,106.35,4.3,High
1160,Equipment/Consumables,Ventilator Filter,459,58,634,10276.05,50,4,V001,MedSupplies Inc.,8444.62,9.18,Low
1161,Equipment/Consumables,Small Equipment,2326,768,3552,7136.95,34,10,V002,EquipMed Co.,7485.2,68.41176470588235,Low
1162,IV & Emergency Supplies,Oxygen Mask,103,32,147,691.5,66,3,V005,PrimeMed Supply Chain,658.2,1.5606060606060606,High
1163,Medicines,Painkiller,2720,835,4274,100.7,132,11,V005,PrimeMed Supply Chain,97.35,20.606060606060606,Medium
1164,Medicines,Painkiller,447,132,979,396.97,54,7,V001,MedSupplies Inc.,331.76,8.277777777777779,Medium
1165,Surgical Supplies,Surgical Mask,1778,320,2341,40.61,217,9,V001,MedSupplies Inc.,43.1,8.193548387096774,High
1166,IV & Emergency Supplies,Emergency Kit,3673,856,4577,761.41,107,5,V001,MedSupplies Inc.,680.86,34.32710280373832,Low
1167,Equipment/Consumables,Ventilator Filter,190,66,430,933.98,41,5,V003,HealthTools Ltd.,976.65,4.634146341463414,High
1168,Equipment/Consumables,Small Equipment,1188,204,1986,17188.6,36,6,V005,PrimeMed Supply Chain,14314.32,33.0,Low
1169,Diagnostic Supplies,X-ray Film,445,123,1090,351.33,66,13,V005,PrimeMed Supply Chain,344.03,6.742424242424242,High
1170,Diagnostic Supplies,Blood Collection Tube,2053,303,3848,410.06,23,17,V001,MedSupplies Inc.,448.58,89.26086956521739,Low
1171,Medicines,Painkiller,4491,1153,8198,415.32,121,6,V002,EquipMed Co.,438.24,37.11570247933884,Low
1172,Medicines,Painkiller,1882,617,3357,344.03,104,6,V003,HealthTools Ltd.,353.39,18.096153846153847,Low
1173,Diagnostic Supplies,Test Kit,3632,712,8054,113.16,58,8,V003,HealthTools Ltd.,99.09,62.62068965517241,Low
1174,Diagnostic Supplies,Test Kit,1697,494,2730,152.09,57,16,V005,PrimeMed Supply Chain,122.68,29.771929824561404,Medium
1175,IV & Emergency Supplies,Oxygen Mask,1662,317,3512,550.82,94,5,V003,HealthTools Ltd.,590.91,17.680851063829788,Low
1176,IV & Emergency Supplies,Cannula,67,14,109,381.2,16,3,V003,HealthTools Ltd.,336.04,4.1875,Medium
1177,Surgical Supplies,Surgical Mask,1566,405,2362,87.66,136,9,V005,PrimeMed Supply Chain,95.9,11.514705882352942,Medium
1178,Surgical Supplies,Sutures,392,47,801,41.31,46,6,V005,PrimeMed Supply Chain,39.24,8.521739130434783,Medium
1179,Equipment/Consumables,Thermometer,67,6,150,17792.29,37,3,V002,EquipMed Co.,18073.08,1.8108108108108107,High
1180,Medicines,Antihistamine,395,69,721,460.09,35,4,V005,PrimeMed Supply Chain,478.08,11.285714285714286,Low
1181,Medicines,Antihistamine,10234,2074,23776,171.16,133,10,V002,EquipMed Co.,143.42,76.94736842105263,Low
1182,Diagnostic Supplies,Blood Collection Tube,521,178,841,113.08,21,13,V003,HealthTools Ltd.,100.33,24.80952380952381,Medium
1183,IV & Emergency Supplies,Emergency Kit,1801,620,4087,357.13,76,3,V004,CarePlus Distributors,326.26,23.69736842105263,Low
1184,Equipment/Consumables,Small Equipment,326,106,409,15327.79,5,9,V002,EquipMed Co.,16836.47,65.2,Low
1185,Medicines,Antihistamine,604,165,1284,456.73,35,5,V003,HealthTools Ltd.,453.56,17.257142857142856,Low
1186,Equipment/Consumables,Thermometer,140,25,264,1772.42,22,14,V004,CarePlus Distributors,1825.36,6.363636363636363,High
1187,Equipment/Consumables,BP Monitor Cuff,205,49,428,1282.6,11,6,V002,EquipMed Co.,1342.24,18.636363636363637,Low
1188,Surgical Supplies,Surgical Mask,2235,436,3360,11.85,319,4,V004,CarePlus Distributors,12.15,7.006269592476489,Medium
1189,Diagnostic Supplies,X-ray Film,218,30,488,291.98,48,6,V003,HealthTools Ltd.,313.94,4.541666666666667,High
1190,Diagnostic Supplies,Reagent,2473,715,6122,469.36,25,14,V003,HealthTools Ltd.,380.28,98.92,Low
1191,IV & Emergency Supplies,Defibrillator Pads,515,69,1079,391.04,86,6,V004,CarePlus Distributors,399.76,5.988372093023256,High
1192,IV & Emergency Supplies,Cannula,366,66,877,711.68,152,5,V001,MedSupplies Inc.,577.52,2.4078947368421053,High
1193,Equipment/Consumables,Thermometer,23,2,35,3861.5,6,4,V001,MedSupplies Inc.,3325.18,3.8333333333333335,High
1194,Medicines,Insulin,906,220,1798,346.57,79,3,V001,MedSupplies Inc.,351.69,11.468354430379748,Low
1195,IV & Emergency Supplies,Emergency Kit,449,82,875,481.85,120,2,V001,MedSupplies Inc.,421.27,3.7416666666666667,Medium
1196,Medicines,Painkiller,3339,506,8223,19.12,38,11,V002,EquipMed Co.,17.27,87.86842105263158,Low
1197,Surgical Supplies,Surgical Mask,1531,478,2260,75.13,316,3,V004,CarePlus Distributors,60.66,4.844936708860759,Medium
1198,Medicines,Painkiller,1251,315,2266,220.7,81,4,V004,CarePlus Distributors,227.52,15.444444444444445,Low
1199,Medicines,Insulin,832,85,1193,177.64,20,11,V001,MedSupplies Inc.,193.41,41.6,Low
1200,Equipment/Consumables,Thermometer,146,19,225,16728.26,49,3,V003,HealthTools Ltd.,14219.73,2.979591836734694,High
1201,Equipment/Consumables,BP Monitor Cuff,400,50,525,10970.26,51,4,V005,PrimeMed Supply Chain,10294.73,7.8431372549019605,Medium
1202,IV & Emergency Supplies,Cannula,863,281,1671,642.83,148,3,V003,HealthTools Ltd.,578.34,5.831081081081081,Medium
1203,IV & Emergency Supplies,Defibrillator Pads,415,142,982,264.16,120,2,V004,CarePlus Distributors,275.91,3.4583333333333335,Medium
1204,Medicines,Antibiotic,758,145,1353,410.83,76,8,V005,PrimeMed Supply Chain,435.07,9.973684210526315,Medium
1205,Diagnostic Supplies,Test Kit,1377,422,1964,259.7,54,12,V001,MedSupplies Inc.,246.82,25.5,Low
1206,Equipment/Consumables,BP Monitor Cuff,933,319,1638,11343.42,25,6,V001,MedSupplies Inc.,10616.73,37.32,Low
1207,Medicines,Insulin,237,76,574,229.11,109,6,V004,CarePlus Distributors,210.13,2.1743119266055047,High
1208,IV & Emergency Supplies,Cannula,21,3,52,134.84,34,2,V005,PrimeMed Supply Chain,115.92,0.6176470588235294,High
1209,Equipment/Consumables,Small Equipment,74,20,154,13541.44,4,14,V002,EquipMed Co.,13372.56,18.5,Medium
1210,Diagnostic Supplies,X-ray Film,269,41,468,219.76,18,9,V001,MedSupplies Inc.,221.65,14.944444444444445,Medium
1211,Diagnostic Supplies,Blood Collection Tube,356,108,845,77.09,20,13,V003,HealthTools Ltd.,80.09,17.8,Medium
1212,IV & Emergency Supplies,Emergency Kit,51,11,109,29.92,19,6,V001,MedSupplies Inc.,32.03,2.6842105263157894,High
1213,Diagnostic Supplies,X-ray Film,218,50,358,86.42,8,15,V003,HealthTools Ltd.,85.67,27.25,Medium
1214,IV & Emergency Supplies,Defibrillator Pads,506,151,906,702.44,156,4,V004,CarePlus Distributors,594.24,3.2435897435897436,High
1215,IV & Emergency Supplies,IV Fluid,2038,582,2624,146.51,74,4,V003,HealthTools Ltd.,148.08,27.54054054054054,Low
1216,Diagnostic Supplies,Blood Collection Tube,27,5,54,351.49,7,5,V001,MedSupplies Inc.,349.17,3.857142857142857,High
