Date,Item_ID,Item_Type,Item_Name,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Days_Until_Stockout,Risk_Label,Vendor_Name,Avg_Lead_Time (days),Cost_Per_Item
2024-10-19,108,Consumable,Ventilator,462,165,2450,10654.65,499,23,V001,0.9258517034068137,High,MedSupplies Inc.,5,0.5
2024-10-20,101,Equipment,IV Drip,4317,667,3215,16184.33,59,18,V003,73.16949152542372,Low,HealthTools Ltd.,15,5000.0
2024-10-21,105,Equipment,X-ray Machine,228,452,3288,3419.11,458,17,V002,0.4978165938864629,High,EquipMed Co.,30,20000.0
2024-10-22,109,Consumable,IV Drip,2912,405,2109,17313.6,374,17,V001,7.786096256684492,High,MedSupplies Inc.,5,0.5
2024-10-23,108,Consumable,Surgical Mask,2206,315,3900,11709.1,392,1,V002,5.627551020408164,Low,EquipMed Co.,30,20000.0
2024-10-24,109,Consumable,Ventilator,2519,338,1419,12310.83,415,19,V003,6.069879518072289,High,HealthTools Ltd.,15,5000.0
2024-10-25,104,Equipment,X-ray Machine,2730,354,4914,11771.05,342,4,V001,7.982456140350878,Medium,MedSupplies Inc.,5,0.5
2024-10-26,103,Consumable,Gloves,2100,525,4644,4426.77,31,2,V002,67.74193548387096,Low,EquipMed Co.,30,20000.0
2024-10-27,100,Equipment,Ventilator,835,634,2523,3695.18,426,7,V002,1.960093896713615,High,EquipMed Co.,30,20000.0
2024-10-28,103,Consumable,X-ray Machine,4289,21,1823,9547.31,9,21,V001,476.55555555555554,Low,MedSupplies Inc.,5,0.5
2024-10-29,105,Consumable,Ventilator,757,835,1153,7127.18,66,1,V003,11.469696969696969,Low,HealthTools Ltd.,15,5000.0
2024-10-30,100,Equipment,Surgical Mask,1415,444,1004,4817.11,110,9,V003,12.863636363636363,Medium,HealthTools Ltd.,15,5000.0
2024-10-31,102,Consumable,Gloves,4900,665,867,11625.6,470,25,V003,10.425531914893616,High,HealthTools Ltd.,15,5000.0
2024-11-01,103,Consumable,IV Drip,3215,963,1517,17123.76,265,7,V001,12.132075471698114,Medium,MedSupplies Inc.,5,0.5
2024-11-02,108,Consumable,IV Drip,873,141,1277,11138.18,250,12,V001,3.492,High,MedSupplies Inc.,5,0.5
2024-11-03,101,Equipment,IV Drip,2275,896,3727,18130.51,238,5,V002,9.558823529411764,Medium,EquipMed Co.,30,20000.0
2024-11-04,103,Equipment,X-ray Machine,4906,966,1497,14336.04,50,22,V001,98.12,Low,MedSupplies Inc.,5,0.5
2024-11-05,103,Consumable,Ventilator,694,945,5657,18008.8,373,6,V002,1.8605898123324396,High,EquipMed Co.,30,20000.0
2024-11-06,103,Consumable,Gloves,139,520,4602,4034.61,65,8,V001,2.1384615384615384,High,MedSupplies Inc.,5,0.5
2024-11-07,107,Consumable,Gloves,2341,991,3886,11746.94,92,24,V003,25.445652173913043,Medium,HealthTools Ltd.,15,5000.0
2024-11-08,100,Equipment,X-ray Machine,3745,167,5193,7093.88,51,26,V003,73.43137254901961,Low,HealthTools Ltd.,15,5000.0
2024-11-09,101,Consumable,Gloves,4804,959,5623,14874.23,177,20,V001,27.141242937853107,Medium,MedSupplies Inc.,5,0.5
2024-11-10,109,Consumable,Gloves,3243,77,4318,8997.87,474,11,V001,6.841772151898734,High,MedSupplies Inc.,5,0.5
2024-11-11,109,Equipment,Ventilator,2706,578,3839,8243.92,158,6,V003,17.126582278481013,Low,HealthTools Ltd.,15,5000.0
2024-11-12,100,Consumable,Ventilator,2445,213,2961,2860.0,72,6,V003,33.958333333333336,Low,HealthTools Ltd.,15,5000.0
2024-11-13,104,Equipment,Ventilator,2902,385,5319,7091.41,27,5,V001,107.48148148148148,Low,MedSupplies Inc.,5,0.5
2024-11-14,107,Consumable,X-ray Machine,1457,89,5902,13356.24,480,29,V003,3.035416666666667,High,HealthTools Ltd.,15,5000.0
2024-11-15,103,Consumable,X-ray Machine,437,311,4676,10175.7,399,11,V001,1.0952380952380953,High,MedSupplies Inc.,5,0.5
2024-11-16,102,Equipment,X-ray Machine,1732,612,1687,10382.88,378,26,V001,4.582010582010582,High,MedSupplies Inc.,5,0.5
2024-11-17,107,Equipment,Gloves,255,89,2088,12963.49,276,13,V001,0.9239130434782609,High,MedSupplies Inc.,5,0.5
2024-11-18,102,Consumable,IV Drip,2149,235,5509,5517.11,127,17,V001,16.921259842519685,High,MedSupplies Inc.,5,0.5
2024-11-19,100,Consumable,Gloves,4707,21,5808,4415.31,137,26,V001,34.35766423357664,Medium,MedSupplies Inc.,5,0.5
2024-11-20,100,Equipment,Ventilator,2366,513,1469,19355.19,40,6,V001,59.15,Low,MedSupplies Inc.,5,0.5
2024-11-21,104,Equipment,IV Drip,2964,143,4695,2757.06,414,14,V002,7.159420289855072,High,EquipMed Co.,30,20000.0
2024-11-22,105,Equipment,Surgical Mask,3728,936,5517,1620.42,280,12,V001,13.314285714285715,Medium,MedSupplies Inc.,5,0.5
2024-11-23,105,Consumable,IV Drip,3842,196,2163,14073.16,334,23,V001,11.502994011976048,High,MedSupplies Inc.,5,0.5
2024-11-24,106,Consumable,Ventilator,2163,590,3726,12942.68,41,11,V002,52.75609756097561,Low,EquipMed Co.,30,20000.0
2024-11-25,108,Consumable,Ventilator,2186,325,1063,7419.78,130,8,V003,16.815384615384616,Low,HealthTools Ltd.,15,5000.0
2024-11-26,104,Consumable,Ventilator,215,554,835,1536.19,346,1,V001,0.6213872832369942,High,MedSupplies Inc.,5,0.5
2024-11-27,101,Consumable,Ventilator,484,815,2831,5590.96,473,25,V001,1.0232558139534884,High,MedSupplies Inc.,5,0.5
2024-11-28,104,Equipment,Surgical Mask,2018,181,2680,1244.96,287,17,V002,7.031358885017422,High,EquipMed Co.,30,20000.0
2024-11-29,109,Consumable,IV Drip,1278,647,3930,19782.43,426,28,V003,3.0,High,HealthTools Ltd.,15,5000.0
2024-11-30,108,Consumable,Surgical Mask,1078,326,2651,13908.3,337,24,V001,3.198813056379822,High,MedSupplies Inc.,5,0.5
2024-12-01,101,Consumable,Gloves,1248,567,2789,8638.15,381,25,V001,3.2755905511811023,High,MedSupplies Inc.,5,0.5
2024-12-02,101,Consumable,IV Drip,4032,295,2985,18394.64,319,29,V002,12.639498432601881,High,EquipMed Co.,30,20000.0
2024-12-03,107,Consumable,Gloves,3363,260,4363,11309.13,332,25,V003,10.129518072289157,High,HealthTools Ltd.,15,5000.0
2024-12-04,109,Equipment,Gloves,3456,165,5600,14225.64,360,26,V003,9.6,High,HealthTools Ltd.,15,5000.0
2024-12-05,109,Equipment,Gloves,3638,753,2058,10135.64,328,21,V003,11.091463414634147,High,HealthTools Ltd.,15,5000.0
2024-12-06,103,Equipment,Ventilator,4872,805,1872,16529.65,103,15,V003,47.300970873786405,Low,HealthTools Ltd.,15,5000.0
2024-12-07,106,Equipment,IV Drip,1024,39,4578,19648.94,470,1,V002,2.178723404255319,Low,EquipMed Co.,30,20000.0
2024-12-08,107,Equipment,X-ray Machine,1277,136,5626,8242.85,473,15,V002,2.699788583509514,High,EquipMed Co.,30,20000.0
2024-12-09,102,Consumable,IV Drip,4625,82,1409,2946.37,294,4,V001,15.731292517006803,Low,MedSupplies Inc.,5,0.5
2024-12-10,100,Consumable,Ventilator,2632,85,1729,8037.19,300,23,V001,8.773333333333333,High,MedSupplies Inc.,5,0.5
2024-12-11,103,Equipment,IV Drip,4957,107,4741,15954.34,444,16,V002,11.164414414414415,High,EquipMed Co.,30,20000.0
2024-12-12,105,Equipment,Ventilator,1542,216,978,4.23,165,9,V003,9.345454545454546,Medium,HealthTools Ltd.,15,5000.0
2024-12-13,109,Equipment,IV Drip,3817,560,2310,19091.92,161,4,V001,23.70807453416149,Low,MedSupplies Inc.,5,0.5
2024-12-14,104,Equipment,IV Drip,1204,277,1252,13250.46,330,5,V001,3.6484848484848484,High,MedSupplies Inc.,5,0.5
2024-12-15,104,Equipment,Gloves,1711,468,5750,6213.3,242,21,V003,7.070247933884297,High,HealthTools Ltd.,15,5000.0
2024-12-16,106,Equipment,Surgical Mask,1714,768,527,9796.68,256,15,V001,6.6953125,High,MedSupplies Inc.,5,0.5
2024-12-17,104,Equipment,IV Drip,3473,867,892,5281.82,489,29,V002,7.102249488752556,High,EquipMed Co.,30,20000.0
2024-12-18,104,Equipment,X-ray Machine,234,42,4319,8718.91,401,5,V002,0.5835411471321695,High,EquipMed Co.,30,20000.0
2024-12-19,103,Consumable,Surgical Mask,3832,700,5827,12764.56,420,28,V001,9.123809523809523,High,MedSupplies Inc.,5,0.5
2024-12-20,104,Consumable,X-ray Machine,2288,50,715,13481.71,248,18,V002,9.225806451612904,High,EquipMed Co.,30,20000.0
2024-12-21,104,Consumable,IV Drip,4909,208,3379,6455.81,388,28,V001,12.652061855670103,High,MedSupplies Inc.,5,0.5
2024-12-22,108,Equipment,Ventilator,2815,296,3730,459.81,40,20,V001,70.375,Low,MedSupplies Inc.,5,0.5
2024-12-23,104,Equipment,IV Drip,1726,672,3408,7544.2,422,25,V002,4.090047393364929,High,EquipMed Co.,30,20000.0
2024-12-24,103,Equipment,Gloves,343,133,4482,7507.87,260,25,V002,1.3192307692307692,High,EquipMed Co.,30,20000.0
2024-12-25,107,Equipment,Ventilator,4101,597,3745,8240.78,425,4,V002,9.649411764705881,Low,EquipMed Co.,30,20000.0
2024-12-26,105,Consumable,X-ray Machine,2413,301,4856,19314.53,59,19,V001,40.898305084745765,Low,MedSupplies Inc.,5,0.5
2024-12-27,105,Consumable,IV Drip,4485,478,5480,19401.95,484,2,V002,9.266528925619834,Low,EquipMed Co.,30,20000.0
2024-12-28,100,Equipment,IV Drip,3930,974,5246,2974.71,130,13,V003,30.23076923076923,Low,HealthTools Ltd.,15,5000.0
2024-12-29,101,Consumable,Ventilator,1434,585,5992,18268.7,4,21,V001,358.5,Low,MedSupplies Inc.,5,0.5
2024-12-30,105,Equipment,IV Drip,4129,782,563,19569.2,12,8,V001,344.0833333333333,Low,MedSupplies Inc.,5,0.5
2024-12-31,109,Equipment,Surgical Mask,3919,699,4870,5133.32,388,23,V003,10.100515463917526,High,HealthTools Ltd.,15,5000.0
2025-01-01,103,Equipment,X-ray Machine,1126,894,4056,14820.61,111,13,V003,10.144144144144144,High,HealthTools Ltd.,15,5000.0
2025-01-02,100,Equipment,IV Drip,2748,167,2748,3509.51,188,25,V001,14.617021276595745,High,MedSupplies Inc.,5,0.5
2025-01-03,105,Equipment,IV Drip,3846,713,4715,9439.58,141,16,V003,27.27659574468085,Medium,HealthTools Ltd.,15,5000.0
2025-01-04,100,Consumable,Ventilator,690,839,2862,12144.29,353,1,V002,1.954674220963173,Medium,EquipMed Co.,30,20000.0
2025-01-05,101,Consumable,Gloves,3801,613,4285,3592.18,424,2,V002,8.964622641509434,Low,EquipMed Co.,30,20000.0
2025-01-06,102,Consumable,X-ray Machine,4184,633,3969,10943.91,307,14,V001,13.628664495114007,High,MedSupplies Inc.,5,0.5
2025-01-07,104,Consumable,Surgical Mask,1556,221,5265,14776.76,257,2,V001,6.054474708171206,Low,MedSupplies Inc.,5,0.5
2025-01-08,102,Equipment,Surgical Mask,243,370,3138,13348.52,55,4,V002,4.418181818181818,Medium,EquipMed Co.,30,20000.0
2025-01-09,100,Consumable,Ventilator,1196,100,577,12615.11,55,8,V001,21.745454545454546,Low,MedSupplies Inc.,5,0.5
2025-01-10,103,Consumable,Surgical Mask,2787,548,4514,2409.08,112,25,V002,24.883928571428573,High,EquipMed Co.,30,20000.0
2025-01-11,102,Consumable,Gloves,4377,595,5296,19127.81,344,5,V003,12.723837209302326,Low,HealthTools Ltd.,15,5000.0
2025-01-12,100,Consumable,IV Drip,1395,956,1088,2818.77,200,7,V003,6.975,High,HealthTools Ltd.,15,5000.0
2025-01-13,107,Equipment,X-ray Machine,1415,233,5849,12244.95,188,28,V003,7.526595744680851,High,HealthTools Ltd.,15,5000.0
2025-01-14,105,Equipment,IV Drip,2532,872,4241,2591.06,322,27,V001,7.863354037267081,High,MedSupplies Inc.,5,0.5
2025-01-15,109,Equipment,Ventilator,1400,795,4671,10794.3,483,3,V003,2.898550724637681,High,HealthTools Ltd.,15,5000.0
2025-01-16,100,Equipment,IV Drip,2712,721,2525,17348.74,270,14,V002,10.044444444444444,High,EquipMed Co.,30,20000.0
2025-01-17,102,Equipment,Gloves,2087,834,2405,12605.89,441,7,V002,4.732426303854876,High,EquipMed Co.,30,20000.0
2025-01-18,107,Consumable,Surgical Mask,534,813,2444,18171.78,31,16,V002,17.225806451612904,Medium,EquipMed Co.,30,20000.0
2025-01-19,102,Equipment,X-ray Machine,2249,211,4399,13171.06,342,26,V002,6.576023391812866,High,EquipMed Co.,30,20000.0
2025-01-20,109,Consumable,Gloves,2220,742,5268,9108.27,82,17,V002,27.073170731707318,Medium,EquipMed Co.,30,20000.0
2025-01-21,102,Consumable,Ventilator,2180,825,992,9337.51,152,17,V003,14.342105263157896,High,HealthTools Ltd.,15,5000.0
2025-01-22,103,Equipment,X-ray Machine,139,58,5874,4233.14,420,19,V002,0.33095238095238094,High,EquipMed Co.,30,20000.0
2025-01-23,103,Equipment,IV Drip,800,385,4292,19077.24,418,10,V003,1.9138755980861244,High,HealthTools Ltd.,15,5000.0
2025-01-24,102,Equipment,Ventilator,3235,977,5606,6218.86,391,26,V002,8.273657289002557,High,EquipMed Co.,30,20000.0
2025-01-25,103,Equipment,IV Drip,205,639,4192,7999.22,25,1,V001,8.2,Low,MedSupplies Inc.,5,0.5
2025-01-26,104,Equipment,Gloves,1587,589,1638,596.28,35,16,V003,45.34285714285714,Low,HealthTools Ltd.,15,5000.0
2025-01-27,101,Consumable,Gloves,2363,645,4607,7760.43,105,22,V001,22.504761904761907,Medium,MedSupplies Inc.,5,0.5
2025-01-28,102,Consumable,Ventilator,4261,721,2819,2334.56,442,17,V003,9.64027149321267,High,HealthTools Ltd.,15,5000.0
2025-01-29,109,Equipment,Surgical Mask,1923,328,5901,3828.92,359,11,V003,5.3565459610027855,High,HealthTools Ltd.,15,5000.0
2025-01-30,101,Consumable,Ventilator,4541,978,5385,15790.87,458,5,V001,9.914847161572052,Medium,MedSupplies Inc.,5,0.5
2025-01-31,104,Consumable,Surgical Mask,2345,303,2698,9444.07,153,8,V002,15.326797385620916,Medium,EquipMed Co.,30,20000.0
2025-02-01,106,Equipment,Ventilator,3627,15,1262,16754.86,222,24,V002,16.33783783783784,High,EquipMed Co.,30,20000.0
2025-02-02,108,Equipment,Ventilator,104,619,2383,6457.32,6,18,V002,17.333333333333332,High,EquipMed Co.,30,20000.0
2025-02-03,102,Equipment,X-ray Machine,1366,65,4704,7664.23,241,9,V002,5.668049792531121,High,EquipMed Co.,30,20000.0
2025-02-04,103,Consumable,Surgical Mask,3248,486,5052,16642.78,433,7,V003,7.501154734411085,Medium,HealthTools Ltd.,15,5000.0
2025-02-05,100,Consumable,Surgical Mask,69,440,1359,1353.1,410,14,V002,0.16829268292682928,High,EquipMed Co.,30,20000.0
2025-02-06,100,Equipment,Gloves,1057,48,5072,16408.54,453,6,V003,2.3333333333333335,High,HealthTools Ltd.,15,5000.0
2025-02-07,106,Equipment,IV Drip,3831,571,3291,4108.2,239,18,V003,16.02928870292887,High,HealthTools Ltd.,15,5000.0
2025-02-08,100,Consumable,Gloves,4870,274,4699,13098.78,39,6,V003,124.87179487179488,Low,HealthTools Ltd.,15,5000.0
2025-02-09,106,Consumable,Surgical Mask,258,644,599,10657.62,385,5,V001,0.6701298701298701,High,MedSupplies Inc.,5,0.5
2025-02-10,103,Consumable,X-ray Machine,2754,203,4989,15785.82,316,3,V001,8.715189873417721,Low,MedSupplies Inc.,5,0.5
2025-02-11,103,Equipment,Surgical Mask,2283,332,1386,15330.07,207,23,V002,11.028985507246377,High,EquipMed Co.,30,20000.0
2025-02-12,108,Equipment,IV Drip,2194,72,1320,11508.29,74,29,V003,29.64864864864865,Medium,HealthTools Ltd.,15,5000.0
2025-02-13,108,Consumable,IV Drip,2376,26,3871,11614.0,229,27,V002,10.375545851528384,High,EquipMed Co.,30,20000.0
2025-02-14,108,Equipment,Ventilator,1466,199,3397,14687.35,496,18,V001,2.9556451612903225,High,MedSupplies Inc.,5,0.5
2025-02-15,102,Consumable,X-ray Machine,4976,204,2318,12211.46,435,28,V001,11.439080459770114,High,MedSupplies Inc.,5,0.5
2025-02-16,103,Equipment,Gloves,1934,277,1962,11180.05,29,2,V001,66.6896551724138,Low,MedSupplies Inc.,5,0.5
2025-02-17,102,Consumable,X-ray Machine,1243,425,1855,9954.16,400,28,V003,3.1075,High,HealthTools Ltd.,15,5000.0
2025-02-18,100,Equipment,Ventilator,1916,404,3520,19150.22,195,8,V001,9.825641025641026,Medium,MedSupplies Inc.,5,0.5
2025-02-19,108,Equipment,Surgical Mask,152,30,2817,4425.19,37,14,V001,4.108108108108108,High,MedSupplies Inc.,5,0.5
2025-02-20,108,Equipment,IV Drip,1678,110,1468,8742.17,136,26,V002,12.338235294117647,High,EquipMed Co.,30,20000.0
2025-02-21,103,Equipment,Surgical Mask,2206,792,732,8376.04,466,6,V002,4.733905579399142,High,EquipMed Co.,30,20000.0
2025-02-22,108,Consumable,Surgical Mask,957,642,3717,11731.33,160,5,V002,5.98125,Medium,EquipMed Co.,30,20000.0
2025-02-23,102,Consumable,Ventilator,141,62,5790,13675.82,172,27,V002,0.8197674418604651,High,EquipMed Co.,30,20000.0
2025-02-24,108,Consumable,Gloves,1891,465,3872,4455.81,42,18,V001,45.023809523809526,Low,MedSupplies Inc.,5,0.5
2025-02-25,104,Equipment,Surgical Mask,4729,679,3798,11237.37,464,16,V001,10.191810344827585,High,MedSupplies Inc.,5,0.5
2025-02-26,103,Equipment,IV Drip,1497,911,2239,18407.82,285,22,V003,5.252631578947368,High,HealthTools Ltd.,15,5000.0
2025-02-27,100,Equipment,IV Drip,2968,280,3403,4687.32,383,8,V001,7.749347258485639,High,MedSupplies Inc.,5,0.5
2025-02-28,104,Equipment,Gloves,1147,636,5434,2216.52,183,9,V002,6.26775956284153,High,EquipMed Co.,30,20000.0
2025-03-01,103,Consumable,Gloves,1930,760,4130,5585.01,309,19,V003,6.2459546925566345,High,HealthTools Ltd.,15,5000.0
2025-03-02,106,Consumable,Ventilator,4286,985,543,11055.04,119,21,V003,36.016806722689076,Medium,HealthTools Ltd.,15,5000.0
2025-03-03,109,Consumable,X-ray Machine,2842,829,1077,9049.9,171,26,V001,16.619883040935672,High,MedSupplies Inc.,5,0.5
2025-03-04,108,Consumable,IV Drip,1299,42,3522,8807.99,249,8,V001,5.216867469879518,High,MedSupplies Inc.,5,0.5
2025-03-05,100,Consumable,Surgical Mask,3949,417,4953,13084.14,416,3,V003,9.492788461538462,Low,HealthTools Ltd.,15,5000.0
2025-03-06,108,Consumable,Ventilator,4864,771,2669,18329.75,87,9,V003,55.9080459770115,Low,HealthTools Ltd.,15,5000.0
2025-03-07,105,Equipment,Gloves,3649,869,5795,3717.66,58,19,V003,62.91379310344828,Low,HealthTools Ltd.,15,5000.0
2025-03-08,109,Equipment,Surgical Mask,1078,784,3744,6971.8,499,18,V001,2.1603206412825653,High,MedSupplies Inc.,5,0.5
2025-03-09,100,Consumable,X-ray Machine,1766,723,3325,7703.61,24,9,V002,73.58333333333333,Low,EquipMed Co.,30,20000.0
2025-03-10,109,Equipment,Gloves,3961,130,1015,3067.83,125,8,V003,31.688,Low,HealthTools Ltd.,15,5000.0
2025-03-11,106,Consumable,X-ray Machine,2426,75,1917,17810.15,325,2,V001,7.464615384615384,Low,MedSupplies Inc.,5,0.5
2025-03-12,105,Consumable,X-ray Machine,3383,85,4719,18648.9,65,4,V003,52.04615384615385,Low,HealthTools Ltd.,15,5000.0
2025-03-13,103,Equipment,IV Drip,601,865,3055,19984.16,402,27,V001,1.4950248756218905,High,MedSupplies Inc.,5,0.5
2025-03-14,101,Consumable,IV Drip,385,518,5654,4744.54,199,22,V001,1.934673366834171,High,MedSupplies Inc.,5,0.5
2025-03-15,108,Equipment,X-ray Machine,3969,720,4050,1435.5,69,16,V001,57.52173913043478,Low,MedSupplies Inc.,5,0.5
2025-03-16,100,Consumable,IV Drip,3931,818,5914,2967.9,204,25,V001,19.269607843137255,High,MedSupplies Inc.,5,0.5
2025-03-17,104,Consumable,Gloves,712,710,2754,16417.4,481,18,V003,1.4802494802494803,High,HealthTools Ltd.,15,5000.0
2025-03-18,109,Consumable,X-ray Machine,1291,46,3410,18593.6,209,20,V002,6.177033492822966,High,EquipMed Co.,30,20000.0
2025-03-19,106,Consumable,X-ray Machine,847,918,4006,7118.28,387,26,V003,2.1886304909560725,High,HealthTools Ltd.,15,5000.0
2025-03-20,105,Equipment,Ventilator,1851,941,641,19249.94,203,2,V003,9.118226600985222,Low,HealthTools Ltd.,15,5000.0
2025-03-21,107,Consumable,Ventilator,3517,72,1355,15939.13,424,11,V002,8.294811320754716,High,EquipMed Co.,30,20000.0
2025-03-22,108,Consumable,Ventilator,2991,463,1305,7070.18,167,19,V001,17.910179640718564,High,MedSupplies Inc.,5,0.5
2025-03-23,108,Equipment,Ventilator,2969,840,4433,17019.13,439,8,V002,6.763097949886105,High,EquipMed Co.,30,20000.0
2025-03-24,109,Equipment,Surgical Mask,3844,452,4321,12820.29,253,12,V003,15.193675889328063,Medium,HealthTools Ltd.,15,5000.0
2025-03-25,102,Consumable,Ventilator,305,598,3918,8929.95,104,6,V001,2.9326923076923075,High,MedSupplies Inc.,5,0.5
2025-03-26,108,Consumable,Gloves,1385,540,582,9038.79,248,27,V003,5.584677419354839,High,HealthTools Ltd.,15,5000.0
2025-03-27,106,Equipment,Surgical Mask,1596,394,4554,19242.41,129,9,V001,12.372093023255815,Medium,MedSupplies Inc.,5,0.5
2025-03-28,106,Consumable,Gloves,1727,11,5114,5860.81,266,6,V003,6.492481203007519,Medium,HealthTools Ltd.,15,5000.0
2025-03-29,109,Equipment,Ventilator,4201,734,2110,13394.06,76,20,V001,55.276315789473685,Low,MedSupplies Inc.,5,0.5
2025-03-30,101,Consumable,X-ray Machine,457,727,3061,16084.3,429,3,V003,1.0652680652680653,High,HealthTools Ltd.,15,5000.0
2025-03-31,106,Equipment,Surgical Mask,1431,612,4029,7707.98,53,22,V001,27.0,Medium,MedSupplies Inc.,5,0.5
2025-04-01,108,Consumable,X-ray Machine,1661,122,4772,9286.07,210,5,V002,7.90952380952381,Medium,EquipMed Co.,30,20000.0
2025-04-02,108,Equipment,Gloves,1959,117,754,12845.61,357,25,V003,5.487394957983193,High,HealthTools Ltd.,15,5000.0
2025-04-03,103,Equipment,Gloves,4298,159,5767,11755.83,362,2,V002,11.87292817679558,Low,EquipMed Co.,30,20000.0
2025-04-04,102,Equipment,Surgical Mask,3459,600,3381,14664.65,176,1,V001,19.65340909090909,Low,MedSupplies Inc.,5,0.5
2025-04-05,103,Consumable,Gloves,3268,279,2535,17113.0,198,25,V001,16.505050505050505,High,MedSupplies Inc.,5,0.5
2025-04-06,106,Equipment,Surgical Mask,4209,77,2264,10835.1,490,14,V002,8.589795918367347,High,EquipMed Co.,30,20000.0
2025-04-07,103,Consumable,Gloves,1615,883,1431,19188.41,49,16,V001,32.95918367346939,Low,MedSupplies Inc.,5,0.5
2025-04-08,106,Equipment,X-ray Machine,3043,411,2813,5623.07,423,25,V001,7.193853427895981,High,MedSupplies Inc.,5,0.5
2025-04-09,105,Equipment,IV Drip,4643,271,5341,1335.6,37,5,V001,125.48648648648648,Low,MedSupplies Inc.,5,0.5
2025-04-10,107,Consumable,Ventilator,2460,36,513,7687.38,389,1,V002,6.323907455012853,Low,EquipMed Co.,30,20000.0
2025-04-11,100,Consumable,Ventilator,4249,713,5033,19281.88,252,5,V003,16.86111111111111,Low,HealthTools Ltd.,15,5000.0
2025-04-12,108,Consumable,IV Drip,3389,421,5580,15278.79,498,29,V003,6.805220883534137,High,HealthTools Ltd.,15,5000.0
2025-04-13,104,Equipment,IV Drip,362,759,1278,3938.24,204,19,V003,1.7745098039215685,High,HealthTools Ltd.,15,5000.0
2025-04-14,106,Equipment,Surgical Mask,1362,947,4717,19594.12,40,24,V001,34.05,Medium,MedSupplies Inc.,5,0.5
2025-04-15,105,Consumable,Gloves,423,535,1823,14048.5,222,21,V001,1.9054054054054055,High,MedSupplies Inc.,5,0.5
2025-04-16,108,Consumable,X-ray Machine,883,823,4185,15984.82,236,5,V002,3.7415254237288136,High,EquipMed Co.,30,20000.0
2025-04-17,102,Consumable,Ventilator,2123,442,4764,1077.86,191,6,V002,11.115183246073299,Medium,EquipMed Co.,30,20000.0
2025-04-18,103,Consumable,IV Drip,4094,578,1768,14453.29,174,15,V002,23.528735632183906,Medium,EquipMed Co.,30,20000.0
2025-04-19,109,Consumable,IV Drip,3018,68,5379,9672.78,460,23,V002,6.560869565217391,High,EquipMed Co.,30,20000.0
2025-04-20,107,Consumable,IV Drip,4293,27,1538,15898.63,299,16,V001,14.357859531772576,High,MedSupplies Inc.,5,0.5
2025-04-21,105,Equipment,Gloves,998,224,3017,14321.3,161,20,V002,6.198757763975156,High,EquipMed Co.,30,20000.0
